work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,SE,FT,Data Engineer,176000,USD,176000,DE,0,DE,M
2025,SE,FT,Data Engineer,77500,USD,77500,DE,0,DE,M
2025,EN,FT,Data Engineer,55000,EUR,57894,DE,0,DE,M
2025,EN,FT,Data Engineer,50000,EUR,52631,DE,0,DE,M
2025,MI,FT,Data Scientist,225000,USD,225000,DE,0,DE,M
2025,MI,FT,Data Scientist,99000,USD,99000,DE,0,DE,M
2025,SE,FT,Data Analyst,225000,USD,225000,DE,0,DE,M
2025,SE,FT,Data Analyst,99000,USD,99000,DE,0,DE,M
2025,SE,FT,Systems Engineer,198000,USD,198000,DE,0,DE,M
2025,SE,FT,Systems Engineer,86800,USD,86800,DE,0,DE,M
2025,MI,FT,Product Owner,53805,EUR,56636,AT,0,AT,M
2025,MI,FT,Product Owner,53805,EUR,56636,AT,0,AT,M
2025,EN,FT,Product Owner,53802,EUR,56633,AT,0,AT,M
2025,EN,FT,Product Owner,53802,EUR,56633,AT,0,AT,M
2025,MI,FT,Data Engineer,138000,USD,138000,DE,0,DE,M
2025,MI,FT,Data Engineer,102000,USD,102000,DE,0,DE,M
2025,SE,FT,Data Management Lead,170600,USD,170600,DE,0,DE,M
2025,SE,FT,Data Management Lead,81200,USD,81200,DE,0,DE,M
2025,SE,FT,Developer,60000,EUR,63157,AT,0,AT,M
2025,SE,FT,Developer,60000,EUR,63157,AT,0,AT,M
2025,MI,FT,Analyst,198000,USD,198000,DE,0,DE,M
2025,MI,FT,Analyst,86800,USD,86800,DE,0,DE,M
2025,SE,FT,Manager,33336,EUR,35090,AT,0,AT,M
2025,SE,FT,Manager,33336,EUR,35090,AT,0,AT,M
2025,SE,FT,Manager,33336,EUR,35090,AT,0,AT,M
2025,SE,FT,Manager,33336,EUR,35090,AT,0,AT,M
2025,EN,PT,Data Analyst,36000,EUR,37894,DE,0,DE,M
2025,EN,PT,Data Analyst,36000,EUR,37894,DE,0,DE,M
2025,MI,FT,Data Engineer,102000,CHF,115909,CH,0,CH,M
2025,MI,FT,Data Engineer,83000,CHF,94318,CH,0,CH,M
2025,MI,FT,Analyst,96290,CHF,109420,CH,0,CH,M
2025,MI,FT,Analyst,96290,CHF,109420,CH,0,CH,M
